participant_id,Label,GrayVol,SurfArea,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
28000023,rh_precuneus,12398.0,4099.0,2.678,0.722,0.105,0.02,55.0,4.9
28000023,rh_rostralanteriorcingulate,2495.0,595.0,3.223,0.781,0.13,0.03,10.0,1.1
28000023,rh_rostralmiddlefrontal,20377.0,5971.0,2.698,0.697,0.134,0.032,123.0,10.2
28000023,rh_superiorfrontal,20131.0,6122.0,2.741,0.765,0.114,0.024,93.0,8.5
28000023,rh_superiorparietal,12945.0,4889.0,2.322,0.653,0.107,0.02,84.0,6.1
28000023,rh_superiortemporal,13710.0,3528.0,3.209,0.647,0.078,0.012,34.0,2.7
28000023,rh_supramarginal,12027.0,3437.0,2.901,0.649,0.11,0.02,46.0,4.1
28000023,rh_frontalpole,1374.0,349.0,2.757,0.844,0.168,0.052,12.0,0.9
28000023,rh_temporalpole,3310.0,460.0,4.261,0.566,0.152,0.046,10.0,0.9
28000023,rh_transversetemporal,1015.0,326.0,2.856,0.53,0.12,0.019,6.0,0.4
28000023,rh_insula,7874.0,2142.0,3.398,0.741,0.105,0.025,28.0,3.3
28000046,lh_bankssts,2905.0,1080.0,2.791,0.507,0.097,0.016,10.0,1.1
28000046,lh_caudalanteriorcingulate,2615.0,656.0,3.282,0.652,0.119,0.023,10.0,0.9
28000046,lh_caudalmiddlefrontal,5378.0,1799.0,2.621,0.614,0.118,0.027,25.0,2.7
28000046,lh_cuneus,3933.0,1426.0,2.442,0.742,0.161,0.045,33.0,3.7
28000046,lh_entorhinal,1346.0,253.0,3.48,0.698,0.115,0.046,8.0,0.5
28000046,lh_fusiform,9115.0,2330.0,3.151,0.701,0.137,0.036,46.0,5.0
28000046,lh_inferiorparietal,15715.0,4538.0,2.861,0.619,0.122,0.026,79.0,6.6
28000046,lh_inferiortemporal,8258.0,2029.0,3.294,0.76,0.133,0.033,33.0,4.1
28000046,lh_isthmuscingulate,3368.0,1048.0,2.577,0.955,0.115,0.027,18.0,1.5
28000046,lh_lateraloccipital,13821.0,4731.0,2.436,0.753,0.14,0.035,94.0,9.5
28000046,lh_lateralorbitofrontal,7933.0,2140.0,3.133,0.755,0.128,0.036,38.0,4.3
28000046,lh_lingual,7882.0,2753.0,2.488,0.651,0.143,0.04,59.0,5.6
28000046,lh_medialorbitofrontal,5570.0,1609.0,2.929,0.78,0.144,0.042,35.0,3.9
28000046,lh_middletemporal,11395.0,2456.0,3.453,0.68,0.129,0.031,43.0,4.2
28000046,lh_parahippocampal,1502.0,556.0,2.387,0.717,0.09,0.021,6.0,0.6
28000046,lh_paracentral,3682.0,1145.0,2.732,0.557,0.116,0.028,15.0,1.7
28000046,lh_parsopercularis,4754.0,1404.0,2.774,0.554,0.112,0.023,20.0,1.8
28000046,lh_parsorbitalis,2785.0,637.0,2.994,0.85,0.143,0.03,11.0,1.1
28000046,lh_parstriangularis,4370.0,1181.0,2.884,0.676,0.107,0.02,16.0,1.4
28000046,lh_pericalcarine,1997.0,1192.0,1.7,0.52,0.156,0.04,20.0,2.9
28000046,lh_postcentral,10866.0,3945.0,2.313,0.706,0.11,0.025,58.0,5.6
28000046,lh_posteriorcingulate,3233.0,1019.0,2.798,0.765,0.127,0.029,19.0,1.6
28000046,lh_precentral,12301.0,3920.0,2.706,0.625,0.1,0.02,42.0,4.7
28000046,lh_precuneus,11206.0,3574.0,2.706,0.691,0.119,0.028,52.0,5.8
28000046,lh_rostralanteriorcingulate,3191.0,749.0,3.318,0.789,0.12,0.029,13.0,1.2
28000046,lh_rostralmiddlefrontal,20767.0,5699.0,2.9,0.683,0.13,0.033,94.0,11.4
28000046,lh_superiorfrontal,23021.0,5995.0,3.125,0.653,0.123,0.028,88.0,9.5
28000046,lh_superiorparietal,16047.0,5191.0,2.572,0.623,0.12,0.026,81.0,7.5
28000046,lh_superiortemporal,12562.0,3341.0,3.093,0.701,0.105,0.025,50.0,5.1
28000046,lh_supramarginal,13724.0,3855.0,2.872,0.705,0.122,0.028,62.0,5.9
28000046,lh_frontalpole,1746.0,277.0,3.649,0.676,0.166,0.049,8.0,0.7
28000046,lh_temporalpole,1838.0,339.0,2.884,1.182,0.184,0.086,10.0,1.4
28000046,lh_transversetemporal,1455.0,445.0,3.155,0.543,0.129,0.03,7.0,0.7
28000046,lh_insula,7262.0,1994.0,3.41,0.807,0.114,0.033,26.0,3.6
28000046,rh_bankssts,2789.0,951.0,3.109,0.635,0.085,0.014,6.0,1.0
28000046,rh_caudalanteriorcingulate,1727.0,511.0,2.9,0.748,0.137,0.032,12.0,1.1
28000046,rh_caudalmiddlefrontal,5253.0,1579.0,2.767,0.651,0.111,0.022,17.0,2.0
28000046,rh_cuneus,3162.0,1278.0,2.161,0.562,0.144,0.038,24.0,2.6
28000046,rh_entorhinal,1442.0,245.0,3.637,0.684,0.1,0.026,3.0,0.4
28000046,rh_fusiform,9510.0,2534.0,3.218,0.732,0.126,0.031,41.0,4.6
28000046,rh_inferiorparietal,16690.0,4414.0,3.046,0.723,0.12,0.027,69.0,6.6
28000046,rh_inferiortemporal,9832.0,2511.0,3.126,0.74,0.14,0.037,45.0,5.5
28000046,rh_isthmuscingulate,2884.0,877.0,2.561,0.918,0.105,0.024,12.0,1.1
28000046,rh_lateraloccipital,13406.0,4557.0,2.461,0.753,0.133,0.034,89.0,9.0
28000046,rh_lateralorbitofrontal,8198.0,2175.0,3.165,0.716,0.129,0.032,36.0,3.7
28000046,rh_lingual,7217.0,2857.0,2.273,0.598,0.142,0.036,49.0,6.2
28000046,rh_medialorbitofrontal,6159.0,1687.0,3.037,0.745,0.14,0.037,39.0,3.5
28000046,rh_middletemporal,11944.0,2910.0,3.27,0.765,0.12,0.031,48.0,5.2
28000046,rh_parahippocampal,1527.0,522.0,2.599,0.647,0.077,0.015,4.0,0.4
28000046,rh_paracentral,4545.0,1382.0,2.815,0.586,0.113,0.026,18.0,2.1
28000046,rh_parsopercularis,4785.0,1360.0,2.906,0.553,0.118,0.025,25.0,1.7
28000046,rh_parsorbitalis,2947.0,682.0,2.954,0.808,0.136,0.036,14.0,1.1
28000046,rh_parstriangularis,5766.0,1572.0,2.775,0.747,0.12,0.028,26.0,2.5
28000046,rh_pericalcarine,2249.0,1268.0,1.825,0.51,0.142,0.036,21.0,2.6
28000046,rh_postcentral,10137.0,3578.0,2.398,0.726,0.109,0.023,49.0,4.7
28000046,rh_posteriorcingulate,3818.0,1113.0,2.87,0.877,0.138,0.031,23.0,1.9
28000046,rh_precentral,12322.0,4117.0,2.668,0.582,0.104,0.02,43.0,5.1
28000046,rh_precuneus,11878.0,3832.0,2.71,0.627,0.123,0.028,59.0,6.3
28000046,rh_rostralanteriorcingulate,1790.0,422.0,3.284,1.014,0.112,0.03,6.0,0.7
28000046,rh_rostralmiddlefrontal,18179.0,5357.0,2.694,0.712,0.129,0.032,107.0,9.9
28000046,rh_superiorfrontal,24968.0,6319.0,3.137,0.725,0.124,0.03,92.0,10.7
28000046,rh_superiorparietal,16259.0,5189.0,2.631,0.616,0.122,0.028,91.0,8.1
28000046,rh_superiortemporal,14436.0,3525.0,3.256,0.661,0.099,0.021,45.0,4.7
28000046,rh_supramarginal,11555.0,3317.0,2.861,0.653,0.122,0.025,50.0,4.7
28000046,rh_frontalpole,1954.0,287.0,3.885,0.86,0.168,0.069,8.0,0.8
28000046,rh_temporalpole,2111.0,414.0,3.288,0.817,0.169,0.054,9.0,1.0
28000046,rh_transversetemporal,1190.0,328.0,3.225,0.648,0.095,0.016,3.0,0.3
28000046,rh_insula,7705.0,2243.0,3.255,0.865,0.137,0.041,38.0,5.2
28000047,lh_bankssts,2953.0,1027.0,3.164,0.511,0.097,0.015,8.0,1.1
28000047,lh_caudalanteriorcingulate,1453.0,522.0,2.761,0.421,0.104,0.015,8.0,0.5
28000047,lh_caudalmiddlefrontal,6850.0,2279.0,2.672,0.526,0.116,0.026,32.0,3.2
28000047,lh_cuneus,4037.0,1491.0,2.331,0.644,0.177,0.051,40.0,4.3
28000047,lh_entorhinal,2235.0,436.0,3.336,0.729,0.135,0.046,7.0,1.0
28000047,lh_fusiform,9544.0,2855.0,2.835,0.699,0.131,0.03,52.0,4.5
28000047,lh_inferiorparietal,15421.0,5148.0,2.578,0.6,0.119,0.028,83.0,8.3
28000047,lh_inferiortemporal,13347.0,3389.0,3.003,0.704,0.128,0.03,64.0,5.5
28000047,lh_isthmuscingulate,4546.0,1370.0,2.676,0.865,0.122,0.03,23.0,2.4
28000047,lh_lateraloccipital,16062.0,6001.0,2.335,0.727,0.145,0.037,127.0,12.1
28000047,lh_lateralorbitofrontal,8948.0,2556.0,3.017,0.638,0.134,0.031,50.0,4.6
28000047,lh_lingual,10375.0,3822.0,2.416,0.569,0.146,0.039,75.0,7.6
28000047,lh_medialorbitofrontal,6508.0,1930.0,2.88,0.693,0.125,0.033,39.0,3.2
28000047,lh_middletemporal,14258.0,3432.0,3.277,0.679,0.133,0.032,62.0,6.3
28000047,lh_parahippocampal,1995.0,682.0,2.525,0.637,0.078,0.015,8.0,0.7
28000047,lh_paracentral,3634.0,1208.0,2.686,0.622,0.108,0.022,13.0,1.7
28000047,lh_parsopercularis,5654.0,1855.0,2.691,0.577,0.106,0.021,25.0,2.0
28000047,lh_parsorbitalis,2399.0,606.0,2.878,0.625,0.148,0.046,18.0,1.0
28000047,lh_parstriangularis,4375.0,1355.0,2.753,0.597,0.119,0.027,18.0,2.0
28000047,lh_pericalcarine,3038.0,1422.0,2.033,0.748,0.123,0.031,18.0,2.7
28000047,lh_postcentral,11711.0,4600.0,2.171,0.639,0.112,0.023,76.0,6.3
28000047,lh_posteriorcingulate,4635.0,1431.0,2.692,0.891,0.125,0.025,22.0,2.2
28000047,lh_precentral,14137.0,4706.0,2.607,0.62,0.111,0.022,60.0,6.0
28000047,lh_precuneus,13334.0,4591.0,2.479,0.668,0.121,0.027,66.0,7.3
28000047,lh_rostralanteriorcingulate,2176.0,656.0,2.907,0.824,0.116,0.023,9.0,1.0
28000047,lh_rostralmiddlefrontal,19645.0,5962.0,2.755,0.64,0.14,0.037,115.0,12.0
28000047,lh_superiorfrontal,27779.0,7673.0,2.997,0.618,0.118,0.028,104.0,12.0
28000047,lh_superiorparietal,16367.0,6189.0,2.331,0.542,0.13,0.029,107.0,9.7
28000047,lh_superiortemporal,14253.0,4076.0,2.929,0.632,0.105,0.02,55.0,5.2
28000047,lh_supramarginal,14364.0,4344.0,2.881,0.64,0.132,0.028,74.0,7.0
28000047,lh_frontalpole,1348.0,337.0,2.986,0.788,0.226,0.075,11.0,1.1
28000047,lh_temporalpole,2745.0,427.0,3.754,0.88,0.154,0.047,7.0,1.1
28000047,lh_transversetemporal,1270.0,451.0,2.642,0.467,0.146,0.039,10.0,0.8
28000047,lh_insula,8455.0,2455.0,3.283,0.775,0.118,0.032,34.0,4.3
28000047,rh_bankssts,2514.0,925.0,2.887,0.552,0.105,0.021,10.0,1.3
28000047,rh_caudalanteriorcingulate,2591.0,803.0,2.805,0.792,0.11,0.019,11.0,0.8
28000047,rh_caudalmiddlefrontal,6382.0,2088.0,2.664,0.521,0.108,0.02,24.0,2.6
28000047,rh_cuneus,4554.0,1899.0,2.092,0.501,0.156,0.042,41.0,4.2
28000047,rh_entorhinal,2032.0,383.0,3.197,0.819,0.13,0.044,8.0,0.9
