lh_bankssts,lh_caudalanteriorcingulate,lh_caudalmiddlefrontal,lh_cuneus,lh_entorhinal,lh_fusiform,lh_inferiorparietal,lh_inferiortemporal,lh_isthmuscingulate,lh_lateraloccipital,lh_lateralorbitofrontal,lh_lingual,lh_medialorbitofrontal,lh_middletemporal,lh_parahippocampal,lh_paracentral,lh_parsopercularis,lh_parsorbitalis,lh_parstriangularis,lh_pericalcarine,lh_postcentral,lh_posteriorcingulate,lh_precentral,lh_precuneus,lh_rostralanteriorcingulate,lh_rostralmiddlefrontal,lh_superiorfrontal,lh_superiorparietal,lh_superiortemporal,lh_supramarginal,lh_frontalpole,lh_temporalpole,lh_transversetemporal,lh_insula,rh_bankssts,rh_caudalanteriorcingulate,rh_caudalmiddlefrontal,rh_cuneus,rh_entorhinal,rh_fusiform,rh_inferiorparietal,rh_inferiortemporal,rh_isthmuscingulate,rh_lateraloccipital,rh_lateralorbitofrontal,rh_lingual,rh_medialorbitofrontal,rh_middletemporal,rh_parahippocampal,rh_paracentral,rh_parsopercularis,rh_parsorbitalis,rh_parstriangularis,rh_pericalcarine,rh_postcentral,rh_posteriorcingulate,rh_precentral,rh_precuneus,rh_rostralanteriorcingulate,rh_rostralmiddlefrontal,rh_superiorfrontal,rh_superiorparietal,rh_superiortemporal,rh_supramarginal,rh_frontalpole,rh_temporalpole,rh_transversetemporal,rh_insula
0.0,0.12889164664815092,0.2329134839761285,0.14742968630413886,0.1285502719347006,0.272015179732445,0.25726384474176095,0.21996815792389612,0.1211578632044251,0.19538767997820078,0.1978611322451075,0.18286064588750006,0.19811048337677106,0.22303935535443464,0.17706197329231105,0.23224604653712969,0.23089839975113735,0.11741181427324485,0.20195479684593623,0.11426244822466594,0.17386697429163084,0.15186851037624027,0.2749505921093468,0.29202090386616225,0.13652744252219842,0.25671265605333426,0.2064302032265322,0.20243785716157203,0.24501227941498718,0.2226536363209117,0.06955782792801113,0.058862808546760396,0.15857522127891527,0.10451328824315169,0.2504707501149101,0.10514909916290725,0.23520849995177187,0.15272025489920305,0.13426110319123885,0.2278483025033752,0.27049973800392313,0.24269812886581027,0.1482384310608499,0.21253287218814082,0.20303560294280176,0.19839269091050893,0.1757165017189045,0.20449082608813543,0.21089121822650067,0.24788360498379036,0.19708608816087864,0.13073292536964673,0.19747412411967194,0.14379251582642444,0.1539801404700975,0.13152169989367354,0.2825325702234431,0.2826611907968354,0.12793186379611407,0.2573636030963438,0.22189826817141234,0.20821442867629578,0.22541393616109678,0.22564138095096598,0.07570827859868108,0.0723305982767829,0.1198443118613301,0.12324615310251219
0.12889164664815092,0.0,0.10735536000213143,0.0902234412736515,0.10528452007921459,0.14898774795394987,0.13310077365049286,0.13785023012305478,0.1375152764965023,0.10585186553505424,0.16313663345557006,0.11754800816905064,0.13315207140845492,0.12819584432878833,0.11970444886278453,0.1098815012232234,0.1326364716390106,0.0886087846599884,0.11699728576426387,0.08190697935551783,0.09768756779747845,0.16641364527853095,0.11581115927297092,0.14524715660979393,0.22201619538030562,0.12486164928988283,0.13136471006981232,0.09552768796043072,0.12058868541766535,0.11552463993329698,0.06198842268641329,0.06031603591328314,0.11766627653314071,0.10477536552004295,0.13466712335738687,0.1697791510105954,0.10699966744072087,0.0865144553675265,0.09414730884231653,0.15090059787656027,0.13180128531128585,0.14612184534126565,0.14158544774942763,0.11141208154857835,0.17376585997624036,0.11256281438012455,0.1465955921846552,0.12182393180930479,0.12588915407489637,0.1189268257762933,0.11550540123078826,0.09797564318126141,0.11693041634498043,0.09640198432476518,0.09862400521943224,0.17496497670411926,0.11974849620297992,0.1348169113458251,0.25999390059042177,0.11896155782723858,0.14231608505501045,0.09895462676259392,0.130759457869158,0.11933456636155437,0.0618876717236324,0.06922084489760952,0.1031104439634377,0.11804634558272745
0.2329134839761285,0.10735536000213143,0.0,0.14521904816487186,0.13187193026843835,0.2163281432569987,0.34140286415043813,0.20696323295461347,0.12114684448411563,0.20571908453908772,0.18166806370994565,0.1818397644924846,0.20299317777109346,0.272785110477419,0.13256787196381917,0.19635403922564873,0.2870545547384698,0.15241789583441925,0.2682279844895582,0.1110325281245451,0.18585504258454455,0.13386605282925304,0.2868673833798243,0.3070808541787429,0.10730996381709647,0.28883103987209907,0.22885126363624617,0.23748380073755976,0.2601209594392931,0.3112308038398391,0.0932681278275095,0.07247921649075029,0.14932524630282593,0.09754058860952554,0.17179047256489433,0.10931083880580322,0.37893881599196566,0.16902605905428617,0.1335272281945693,0.20942198325089495,0.37709333845585086,0.19251428221660816,0.13541896886210925,0.20135859068768916,0.16807469819001178,0.18229221026893222,0.1872608857937346,0.23289331993104243,0.15234003727497067,0.206193637916009,0.24150804560747974,0.16538280815844805,0.28855889617207875,0.12255722301763354,0.15232158629650114,0.12204834977911933,0.29183282768953206,0.29554221804442843,0.10725238227696046,0.2991942821067172,0.2770616298356389,0.23463924065714933,0.21688604844605,0.30057010563857794,0.09963485651662295,0.08355721739142669,0.11079998878041573,0.1162406571043748
0.14742968630413886,0.0902234412736515,0.14521904816487186,0.0,0.10209640465453276,0.13497100641085108,0.1504852828497825,0.14788301276616214,0.14596255340527117,0.32476617625486215,0.14160776068112368,0.23817604584461954,0.17880089544621222,0.12389981042140975,0.10295865262300792,0.14984130923008349,0.12942193968083568,0.10593972773846529,0.1220079762438346,0.16937726805446848,0.2271721481943754,0.11392098604610006,0.18074357745712774,0.15188594024539445,0.09428100188241376,0.1807220493313842,0.1262374591646589,0.19888359731517227,0.13480347802976778,0.16673344554406988,0.07143868455931589,0.054917966423736954,0.10723120898194449,0.07098507548606503,0.09991658044362636,0.11055400026211792,0.14201830959980705,0.2587165629755952,0.09443523873542095,0.1316204185772668,0.16877767739666566,0.11543436908431869,0.16994187477753578,0.2800488134802224,0.13814383937560398,0.23043186302485144,0.14773919417571232,0.10720242115310248,0.11245319262073115,0.16842060440767484,0.11656116928416181,0.1256982684630722,0.12712136336850044,0.18017216282148418,0.21589279041784876,0.10182963306802999,0.18289321041577966,0.15818494997847102,0.08969847778490106,0.1934076130516811,0.1345634460455997,0.22029897622032263,0.10951173488035289,0.15638495094214797,0.07711288871377976,0.0683335972916921,0.08908241389357456,0.08573521532420843
0.1285502719347006,0.10528452007921459,0.13187193026843835,0.10209640465453276,0.0,0.16268868381763696,0.1676408690248311,0.17799077949580877,0.11692454309301772,0.12269318109531005,0.17194250619377693,0.11260600189477706,0.1738405913568638,0.18297598718637118,0.13225490823224306,0.1623927644654813,0.1591215827533881,0.16635703348306888,0.14606232552732484,0.06775879028863595,0.11865061735966868,0.09399075403729401,0.14154676101036992,0.15767478482993386,0.12412160758739652,0.14045370254929626,0.19906335651686902,0.10669617501376967,0.17855391928710376,0.16357490166100117,0.12220986438600362,0.09972406338476052,0.09127466475257588,0.08277048273835964,0.11231113891700188,0.08038524395990955,0.12366605422970206,0.1314030697003848,0.18216219961831223,0.13917439567881018,0.14966272295518934,0.15502894431638992,0.12984276716886123,0.1289025896807479,0.16952445680056108,0.13569108542599956,0.176296360061228,0.19641001209355316,0.12683406181156706,0.14945334158162796,0.15714980167428497,0.21459781556902469,0.16093895303626793,0.07620403115124423,0.1209950861858785,0.09024283804489382,0.13944934279809523,0.1399206809382398,0.10993248476865929,0.1459238506940593,0.19120912993230751,0.11726912250705636,0.18226771279794254,0.1464937948074936,0.12853943621152158,0.12784935134751116,0.0848743508512798,0.08640053211998927
0.272015179732445,0.14898774795394987,0.2163281432569987,0.13497100641085108,0.16268868381763696,0.0,0.24927393831070938,0.30426625459378454,0.1439781710017601,0.17769289040338174,0.24163990624644371,0.19086919460239385,0.23771882246716566,0.2608640475377387,0.17392953887909793,0.1984509022998932,0.23889664513755796,0.14827174866760218,0.19336480045726312,0.09577163489168833,0.15480635365619946,0.17248927009214793,0.23355817996612205,0.30147364015361217,0.1773114676797443,0.2649089346201003,0.26491079765102993,0.15389271441741306,0.24249014763326918,0.22032566955337243,0.0852458917614942,0.07368068138474013,0.15365155092072189,0.09914974577236113,0.19652459105316905,0.11003909197038125,0.2136645328048805,0.14969976883873104,0.16206401949772956,0.3828294034319788,0.2601681500545817,0.31780854937128034,0.1682021446640102,0.20101399243804213,0.26884940306253174,0.18970273024760476,0.2216019828332162,0.2737269621838392,0.19513644140513617,0.23124818741924216,0.2131967594319194,0.1640140406990361,0.18994402887656003,0.11013368137618508,0.1420413916925398,0.15929686225760548,0.2417804105778428,0.2467584254187542,0.15213892145085317,0.25261461782779765,0.25917516593106144,0.17018252687057467,0.2486602011388478,0.2095854575906002,0.08996763074324467,0.09133508763092939,0.11740293983208148,0.11817028310280349
0.25726384474176095,0.13310077365049286,0.34140286415043813,0.1504852828497825,0.1676408690248311,0.24927393831070938,0.0,0.24712637326336284,0.13997007372880918,0.2138321497673513,0.2484659665918075,0.18586029363246678,0.25237443354910155,0.332128092910224,0.14832011859359057,0.24457118046840737,0.3562162210165968,0.18071359359715802,0.31460968120252986,0.11844326551225051,0.21279169730881944,0.1538048018358619,0.3215346648423236,0.376948208188742,0.14107388276333277,0.30003033984554567,0.2803730732658455,0.2632426276070451,0.3192681573727523,0.4167289652655883,0.10629682802090201,0.0814629596369984,0.16803119815031742,0.11750979124157335,0.20952971832247247,0.12109591111577477,0.334364045135776,0.17217363331756314,0.1554526426926804,0.22975203020538834,0.3866179096727022,0.23825846220045976,0.16244129988241307,0.21504278377337543,0.2379155187107982,0.20434601769044994,0.21876871580222093,0.29165110152923424,0.15991221157440522,0.2514381132730847,0.29485980398657957,0.2055164363539581,0.330891836961968,0.1309309894441657,0.183395753204845,0.1403029560186896,0.32774717547645854,0.33679521145976193,0.137748611168177,0.3418952103168314,0.33138958711096456,0.24563933869985227,0.2688396094005241,0.3824122494718686,0.11398320234561761,0.09945170557244257,0.12658488057415043,0.14319146468733066
0.21996815792389612,0.13785023012305478,0.20696323295461347,0.14788301276616214,0.17799077949580877,0.30426625459378454,0.24712637326336284,0.0,0.15432836957930204,0.19808667868816607,0.2428034424436105,0.18059081073037953,0.27556419910755237,0.29258152394727877,0.14241560066876918,0.1898319801087843,0.22109279601823137,0.1851887373062908,0.19108235853777,0.10622759453960287,0.17150271650572815,0.1462890360202298,0.2260831049121223,0.2653982858053703,0.1559768881960579,0.30957806244602115,0.2576161991896352,0.1626017801909192,0.22222379310005522,0.2491633072809896,0.0897231817860441,0.08383530067599722,0.1319913430853141,0.0892560530492413,0.1534986669728436,0.11220151892233085,0.20556757705191042,0.17425582625152963,0.1805836500449773,0.2800474687173758,0.2637227457937216,0.3055290045419951,0.17687380296931696,0.22092342922555902,0.27832960461018447,0.19390527192550308,0.23920400742711886,0.2929121337980651,0.15893161440080011,0.19518952076985724,0.185411513739994,0.1979395111692631,0.21145799037275703,0.11892511711499132,0.14952392357824593,0.13031129924324164,0.2258400204483199,0.22302439864565926,0.13349019019729488,0.27706869323014616,0.2582360227806357,0.19116917633015323,0.21342385971373512,0.21172197330814305,0.095739035746527,0.09831758477875865,0.10580915424961505,0.1021853784911695
0.1211578632044251,0.1375152764965023,0.12114684448411563,0.14596255340527117,0.11692454309301772,0.1439781710017601,0.13997007372880918,0.15432836957930204,0.0,0.1652736148986995,0.1581306486257193,0.2045218650387564,0.17467795979697742,0.12915820642741557,0.11565746261536353,0.12097065500752763,0.12873519497932456,0.11051688485120567,0.1180470154582107,0.1447407936482111,0.16808887633388148,0.20783555559391514,0.13420671513328666,0.14920635645384228,0.1557266653168827,0.1609521862398507,0.13879280622809317,0.12503438596286737,0.1325988578728649,0.1434556787915976,0.07219999189573592,0.06587128584288918,0.10453298438744599,0.09201762155256779,0.1035054410965868,0.16498462318381502,0.11791380630582919,0.13702809662171486,0.11982676203435265,0.15940569711205083,0.1554445309930207,0.14649898179565674,0.32294862416211556,0.1728948023231032,0.1727848631556126,0.17228691945655444,0.17277434543002484,0.1246634960539948,0.12551457437524569,0.13713883126585674,0.11126204262441969,0.12449118570186311,0.12039550089862364,0.13650254122416092,0.16078770775087006,0.1863649773753082,0.1430731000600696,0.14444754078467648,0.1463286863453587,0.1669480357246985,0.156254289729556,0.14759236453608618,0.12906950614367937,0.13748209130692857,0.07526849101658908,0.07759747666264781,0.0957271619149137,0.11236600957330306
0.19538767997820078,0.10585186553505424,0.20571908453908772,0.32476617625486215,0.12269318109531005,0.17769289040338174,0.2138321497673513,0.19808667868816607,0.1652736148986995,0.0,0.16938907740535342,0.3117267473463163,0.2292360422525568,0.17523837973774714,0.1172104124440898,0.19675554325143357,0.1708517500047019,0.14170030973948372,0.16412346943991518,0.19660515975156104,0.2908327481972612,0.14276170298309143,0.2483640510372995,0.2119818614600977,0.1082899863799424,0.24755359531685675,0.18048592992469753,0.27206760012092446,0.18100490964240784,0.2232247286243422,0.08352291609453108,0.06306489372283047,0.12480992734605457,0.07832233620327457,0.12465322521603169,0.1282792818308375,0.2001061330516287,0.2966336617329072,0.12138099319464332,0.18179574990441813,0.24491239322822708,0.16210165734343313,0.19258405122802627,0.40523994709240924,0.1713733543251624,0.3143435810981433,0.17922612182294792,0.14913072136222066,0.13382796716842774,0.22043721928281654,0.1567108416256454,0.15677318588278827,0.17085977226089308,0.20457364545748127,0.247796270376597,0.1270396107206646,0.2776750802553135,0.2323596961556888,0.10543780839522127,0.2804260077345244,0.2057906762815107,0.31327747698666075,0.14561815702559855,0.22429992109830313,0.09083547087330271,0.07824414985925257,0.09723416786025399,0.09582107822492457
